job_id,title,company,location,job_url,posted_date,posted_time_ago,applicants,is_promoted,search_keywords,search_location,scraped_at
4269582464,Data Scientist,The Value Maximizer,"Pennsylvania, United States",https://www.linkedin.com/jobs/view/data-scientist-at-the-value-maximizer-4269582464?position=8&pageNum=0&refId=bmT2hl4iCN2cJhh6nwMhVw%3D%3D&trackingId=YJIN99i%2F3awYWiIrQXcmkA%3D%3D,2025-07-18,1 day ago,,False,data scientist,United States,2025-07-20T05:53:59.654596
4260309062,AI / ML Engineer OR Data Scientist,Veracity Software Inc,"Iselin, NJ",https://www.linkedin.com/jobs/view/ai-ml-engineer-or-data-scientist-at-veracity-software-inc-4260309062?position=9&pageNum=0&refId=bmT2hl4iCN2cJhh6nwMhVw%3D%3D&trackingId=d70k6zEahk8zZgC3MQr%2BUw%3D%3D,2025-07-07,1 week ago,,False,data scientist,United States,2025-07-20T05:53:59.654887
4262355919,Data Scientist,Toyota North America,"Plano, TX",https://www.linkedin.com/jobs/view/data-scientist-at-toyota-north-america-4262355919?position=10&pageNum=0&refId=bmT2hl4iCN2cJhh6nwMhVw%3D%3D&trackingId=GS%2FKIpgsUyVhti2hCgKNPw%3D%3D,2025-07-08,1 week ago,,False,data scientist,United States,2025-07-20T05:53:59.655153
4265043825,Data Scientist (All Levels),Pomelo Care,United States,https://www.linkedin.com/jobs/view/data-scientist-all-levels-at-pomelo-care-4265043825?position=1&pageNum=2&refId=DRaX4Hiene011IEkQPEt2A%3D%3D&trackingId=io%2BTwmz91HRTJ2za4bt8Kg%3D%3D,2025-07-11,1 week ago,,False,data scientist,United States,2025-07-20T05:54:02.397441
4259648324,"Machine Learning Engineer (I, II, or Sr.)",Ikigai,"San Mateo, CA",https://www.linkedin.com/jobs/view/machine-learning-engineer-i-ii-or-sr-at-ikigai-4259648324?position=2&pageNum=2&refId=DRaX4Hiene011IEkQPEt2A%3D%3D&trackingId=YszQ%2BGIUrQ9dVcVsrYxMOQ%3D%3D,2025-06-30,2 weeks ago,,False,data scientist,United States,2025-07-20T05:54:02.397717
4254353402,Data Scientist (Remote),Elder Research,"Arlington, VA",https://www.linkedin.com/jobs/view/data-scientist-remote-at-elder-research-4254353402?position=3&pageNum=2&refId=DRaX4Hiene011IEkQPEt2A%3D%3D&trackingId=O3vGh70s7scVrq43iKPE6g%3D%3D,2025-07-17,2 days ago,,False,data scientist,United States,2025-07-20T05:54:02.397982
4260267050,Junior Data Scientist (Ref: 187121),Forsyth Barnes,"New York, NY",https://www.linkedin.com/jobs/view/junior-data-scientist-ref-187121-at-forsyth-barnes-4260267050?position=4&pageNum=2&refId=DRaX4Hiene011IEkQPEt2A%3D%3D&trackingId=mCHXbpN5zmeb%2Ba%2BQbn8bxw%3D%3D,2025-07-01,2 weeks ago,,False,data scientist,United States,2025-07-20T05:54:02.398284
4267507338,Machine Learning Engineer – Behavior Modeling,Bedrock Robotics,"San Francisco, CA",https://www.linkedin.com/jobs/view/machine-learning-engineer-%E2%80%93-behavior-modeling-at-bedrock-robotics-4267507338?position=5&pageNum=2&refId=DRaX4Hiene011IEkQPEt2A%3D%3D&trackingId=pMAYUqhtvn5UZ3Lxf9q9Hw%3D%3D,2025-07-16,3 days ago,,False,data scientist,United States,2025-07-20T05:54:02.398553
4269770407,Data Scientist,L.E.K. Consulting,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-l-e-k-consulting-4269770407?position=6&pageNum=2&refId=DRaX4Hiene011IEkQPEt2A%3D%3D&trackingId=xTIRFcvgdHa461zOFwbrGA%3D%3D,2025-07-20,2 hours ago,,False,data scientist,United States,2025-07-20T05:54:02.398881
4266987152,Data Scientist,Meta,"Fremont, CA",https://www.linkedin.com/jobs/view/data-scientist-at-meta-4266987152?position=7&pageNum=2&refId=DRaX4Hiene011IEkQPEt2A%3D%3D&trackingId=DquknDMSCDxznueSMLbYRA%3D%3D,2025-07-17,2 days ago,,False,data scientist,United States,2025-07-20T05:54:02.399179
4266986511,Data Scientist,Meta,"Menlo Park, CA",https://www.linkedin.com/jobs/view/data-scientist-at-meta-4266986511?position=8&pageNum=2&refId=DRaX4Hiene011IEkQPEt2A%3D%3D&trackingId=2gywpT6dkVrz0BBZW%2FquwA%3D%3D,2025-07-17,2 days ago,,False,data scientist,United States,2025-07-20T05:54:02.399487
4260627666,Senior Data Scientist,Walmart Global Tech,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/senior-data-scientist-at-walmart-global-tech-4260627666?position=9&pageNum=2&refId=DRaX4Hiene011IEkQPEt2A%3D%3D&trackingId=tb%2B0zXdKiKFQbRCiIRosSQ%3D%3D,2025-07-03,2 weeks ago,,False,data scientist,United States,2025-07-20T05:54:02.399776
4266926030,Data Scientist I,Bank of America,"New York, NY",https://www.linkedin.com/jobs/view/data-scientist-i-at-bank-of-america-4266926030?position=10&pageNum=2&refId=DRaX4Hiene011IEkQPEt2A%3D%3D&trackingId=M7orYlKI3zeGIev5xKWRlg%3D%3D,2025-07-17,3 days ago,,False,data scientist,United States,2025-07-20T05:54:02.400066
